Codigo Familia;Familia;legado
3140;FIBRA 4DX51MM BI HM V;3140-FIBRA 4DX51MM BI HM V
3141;TECIDO PARA COBERTOR AUSTIN 225CM;3141-TECIDO PARA COBERTOR AUSTIN 225CM
3142;TECIDO PARA COBERTOR BOSTON 225CM;3142-TECIDO PARA COBERTOR BOSTON 225CM
3143;TECIDO PARA COBERTOR BOSTON 245CM;3143-TECIDO PARA COBERTOR BOSTON 245CM
3144;TECIDO PARA COBERTOR ASPEN 225CM;3144-TECIDO PARA COBERTOR ASPEN 225CM
3145;TECIDO PARA COBERTOR ASPEN 245CM;3145-TECIDO PARA COBERTOR ASPEN 245CM
3146;TECIDO PARA COBERTOR DEXTER 245CM;3146-TECIDO PARA COBERTOR DEXTER 245CM
3147;TECIDO PARA COBERTOR DEXTER 225CM;3147-TECIDO PARA COBERTOR DEXTER 225CM
3148;TECIDO PARA MANTA SHINE HD 2.05M;3148-TECIDO PARA MANTA SHINE HD 2.05M
3149;TECIDO PARA COBERTOR LUGANO 205CM;3149-TECIDO PARA COBERTOR LUGANO 205CM
3150;TECIDO PARA COBERTOR LUGANO 225CM;3150-TECIDO PARA COBERTOR LUGANO 225CM
3151;TECIDO PARA COBERTOR SUPER SOFT 225CM;3151-TECIDO PARA COBERTOR SUPER SOFT 225CM
3152;TECIDO PARA COBERTOR SUPER SOFT 245CM;3152-TECIDO PARA COBERTOR SUPER SOFT 245CM
3153;TECIDO COBERTOR KG H D DEXTER 2.50M CORTTEX;3153-TECIDO COBERTOR KG H D DEXTER 2.50M CORTTEX
3154;TECIDO COBERTOR KG HOME DESIGN LUGANO 250CM CORTTEX;3154-TECIDO COBERTOR KG HOME DESIGN LUGANO 250CM CORTTEX
3155;TECIDO PARA NOVA MANTA HOME DESIGN LISO 2,05M;3155-TECIDO PARA NOVA MANTA HOME DESIGN LISO 2,05M
3156;TECIDO PARA NOVA MANTA HOME DESIGN LISO 2,25M;3156-TECIDO PARA NOVA MANTA HOME DESIGN LISO 2,25M
3157;LINEN LOOK DETROIT;3157-LINEN LOOK DETROIT
3158;LINEN LOOK IRLANDA;3158-LINEN LOOK IRLANDA
3159;SEMI BLACKOUT LISBOA;3159-SEMI BLACKOUT LISBOA
3160;SEMI BLACKOUT DUBAI;3160-SEMI BLACKOUT DUBAI
3161;SEMI BLACKOUT FRANKFURT;3161-SEMI BLACKOUT FRANKFURT
3162;SEMI BLACKOUT ZURIQUE;3162-SEMI BLACKOUT ZURIQUE
3163;ARTCOURO LIVORNO;3163-ARTCOURO LIVORNO
3164;ARTCOURO CORSANO;3164-ARTCOURO CORSANO
3165;LINEN LOOK COPERTINO;3165-LINEN LOOK COPERTINO
3166;VELUDO SALENTO;3166-VELUDO SALENTO
3167;MICROFIBRA EDDI 43712 90G/M2 2.50M LISA;3167-MICROFIBRA EDDI 43712 90G/M2 2.50M LISA
3168;GRANITE DELI;3168-GRANITE DELI
3169;LINEN LOOK BARCELONA;3169-LINEN LOOK BARCELONA
3170;GRANADO DALLAS;3170-GRANADO DALLAS
3171;TECIDO LEN�OL 300 FIOS PRODU��O ESTAMPADO;3171-TECIDO LEN�OL 300 FIOS PRODU��O ESTAMPADO
3172;"TECIDO PARA COBERTOR BOSTON 225CM ""H""";"3172-TECIDO PARA COBERTOR BOSTON 225CM ""H"""
3173;TECIDO PARA COBERTOR BOSTON 245CM H;3173-TECIDO PARA COBERTOR BOSTON 245CM H
3174;"TECIDO PARA COBERTOR HD FLANNEL LUMINI 225CM ""H""";"3174-TECIDO PARA COBERTOR HD FLANNEL LUMINI 225CM ""H"""
3175;"TECIDO PARA COBERTOR HD FLANNEL LUMINI 245CM ""H""";"3175-TECIDO PARA COBERTOR HD FLANNEL LUMINI 245CM ""H"""
3176;"TECIDO PARA COBERTOR HOME DESIGN LUSTER 225CM ""H""";"3176-TECIDO PARA COBERTOR HOME DESIGN LUSTER 225CM ""H"""
3177;"TECIDO PARA NOVA MANTA HOME DESIGN LISO 2,05M ""H""";"3177-TECIDO PARA NOVA MANTA HOME DESIGN LISO 2,05M ""H"""
3178;"TECIDO PARA NOVA MANTA HOME DESIGN LISO 2,25M ""H""";"3178-TECIDO PARA NOVA MANTA HOME DESIGN LISO 2,25M ""H"""
3179;"TECIDO PARA COBERTOR AUSTIN 225CM ""H""";"3179-TECIDO PARA COBERTOR AUSTIN 225CM ""H"""
3180;TECIDO TOALHA BANHO RAVENA CORTTEX;3180-TECIDO TOALHA BANHO RAVENA CORTTEX
3181;TECIDO TOALHA ROSTO RAVENA CORTTEX;3181-TECIDO TOALHA ROSTO RAVENA CORTTEX
3182;TECIDO TOALHA BANHO N�POLES CORTTEX;3182-TECIDO TOALHA BANHO N�POLES CORTTEX
3183;TECIDO TOALHA ROSTO N�POLES CORTTEX;3183-TECIDO TOALHA ROSTO N�POLES CORTTEX
3184;TECIDO TOALHA BANHO AURORA CORTTEX;3184-TECIDO TOALHA BANHO AURORA CORTTEX
3185;TECIDO TOALHA ROSTO AURORA CORTTEX;3185-TECIDO TOALHA ROSTO AURORA CORTTEX
3186;TECIDO TOALHA BANHO CHARLOTTE CORTTEX;3186-TECIDO TOALHA BANHO CHARLOTTE CORTTEX
3187;TECIDO TOALHA ROSTO CHARLOTTE CORTTEX;3187-TECIDO TOALHA ROSTO CHARLOTTE CORTTEX
3188;TECIDO TOALHA BANH�O SUPER SOFT ZERO TWIST CORTTEX;3188-TECIDO TOALHA BANH�O SUPER SOFT ZERO TWIST CORTTEX
3189;TECIDO TOALHA BANHO SUPER SOFT ZERO TWIST CORTTEX;3189-TECIDO TOALHA BANHO SUPER SOFT ZERO TWIST CORTTEX
3190;MICROFIBRA 2.50M;3190-MICROFIBRA 2.50M
3191;TECIDO TOALHA ROSTO SUPER SOFT ZERO TWIST CORTTEX;3191-TECIDO TOALHA ROSTO SUPER SOFT ZERO TWIST CORTTEX
3192;TELA CREMONA 3,00M;3192-TELA CREMONA 3,00M
3193;TELA RAVENNA 3,00M;3193-TELA RAVENNA 3,00M
3194;TELA VERCELLI 3,00M;3194-TELA VERCELLI 3,00M
3195;ANARUGA DUBLIN 250CM;3195-ANARUGA DUBLIN 250CM
3196;BLACKOUT ARGOS 280CM;3196-BLACKOUT ARGOS 280CM
3197;BLACKOUT SEVILHA 280CM;3197-BLACKOUT SEVILHA 280CM
3198;TECIDO HOUSTON 180 GSM 2.10M;3198-TECIDO HOUSTON 180 GSM 2.10M
3199;TECIDO HOUSTON FIO TINTO 180 GSM 2.10M;3199-TECIDO HOUSTON FIO TINTO 180 GSM 2.10M
3200;TECIDO SAN DIEGO 140 GSM 2.10M;3200-TECIDO SAN DIEGO 140 GSM 2.10M
3201;TECIDO SAN DIEGO FIO TINTO 140 GSM 2.10M;3201-TECIDO SAN DIEGO FIO TINTO 140 GSM 2.10M
3202;TECIDO TOALHA BANH�O CHARLOTTE CORTTEX;3202-TECIDO TOALHA BANH�O CHARLOTTE CORTTEX
3203;TECIDO TOALHA BANH�O RAVENA CORTTEX;3203-TECIDO TOALHA BANH�O RAVENA CORTTEX
3204;TECIDO TOALHA BANH�O N�POLES CORTTEX;3204-TECIDO TOALHA BANH�O N�POLES CORTTEX
3205;TECIDO TOALHA BANH�O AURORA CORTTEX;3205-TECIDO TOALHA BANH�O AURORA CORTTEX
3206;FLOCO GARRAFA PET - CRISTAL (PVC MAX 10PPM);3206-FLOCO GARRAFA PET - CRISTAL (PVC MAX 10PPM)
3207;LINEN LOOK 1.42M                                                 ;3207-LINEN LOOK 1.42M                                                 
3208;LINEN LOOK 1.42M                                                 ;3208-LINEN LOOK 1.42M                                                 
3209;VELUDO 1.42M                                                     ;3209-VELUDO 1.42M                                                     
3210;LINEN LOOK 1.42M                                                 ;3210-LINEN LOOK 1.42M                                                 
3211;LINEN LOOK 1.42M                                                 ;3211-LINEN LOOK 1.42M                                                 
3212;LINEN LOOK 1.42M                                                 ;3212-LINEN LOOK 1.42M                                                 
3213;LINEN LOOK 1.42M                                                 ;3213-LINEN LOOK 1.42M                                                 
3214;LINEN LOOK 1.42M                                                 ;3214-LINEN LOOK 1.42M                                                 
3215;BOUCLE 1.42M                                                     ;3215-BOUCLE 1.42M                                                     
3216;LINEN LOOK 1.42M                                                 ;3216-LINEN LOOK 1.42M                                                 
3217;LINEN LOOK 1.42M                                                 ;3217-LINEN LOOK 1.42M                                                 
3217;LINEN LOOK ESPECIAL                     ;3217-LINEN LOOK ESPECIAL                     
3219;LINEN LOOK 1.42M                                                 ;3219-LINEN LOOK 1.42M                                                 
3222;BOUCLE SALERNO 1.40M;3222-BOUCLE SALERNO 1.40M
3223;LINEN LOOK PORTO 1.42M;3223-LINEN LOOK PORTO 1.42M
3224;TECIDO MANTA KG CELTA EST 2.00M CORTTEX;3224-TECIDO MANTA KG CELTA EST 2.00M CORTTEX
3225;TECIDO MANTA KG CELTA LISA 2.00M CORTTEX;3225-TECIDO MANTA KG CELTA LISA 2.00M CORTTEX
3226;MICROFIBRA 80G/M2 2.50M ;3226-MICROFIBRA 80G/M2 2.50M 
3227;VOIL ALPES 3.00M;3227-VOIL ALPES 3.00M
3228;MICROFIBRA 90G/M2 2.50M ;3228-MICROFIBRA 90G/M2 2.50M 
3229;TECIDO HOME DESIGN 200 FIOS 100% ALGOD�O 2.55M;3229-TECIDO HOME DESIGN 200 FIOS 100% ALGOD�O 2.55M
3230;LINEN LOOK N�POLES 1.40M;3230-LINEN LOOK N�POLES 1.40M
3231;TECIDO TOALHA BANH�O FERRARA CORTTEX;3231-TECIDO TOALHA BANH�O FERRARA CORTTEX
3232;TECIDO TOALHA BANH�O NANCY CORTTEX;3232-TECIDO TOALHA BANH�O NANCY CORTTEX
3233;TECIDO TOALHA BANH�O VERONA CORTTEX;3233-TECIDO TOALHA BANH�O VERONA CORTTEX
3234;TECIDO TOALHA BANHO FERRARA CORTTEX;3234-TECIDO TOALHA BANHO FERRARA CORTTEX
3235;TECIDO TOALHA BANHO NANCY CORTTEX;3235-TECIDO TOALHA BANHO NANCY CORTTEX
3236;TECIDO TOALHA BANHO VERONA CORTTEX;3236-TECIDO TOALHA BANHO VERONA CORTTEX
3237;TECIDO TOALHA ROSTO FERRARA CORTTEX;3237-TECIDO TOALHA ROSTO FERRARA CORTTEX
3238;TECIDO TOALHA ROSTO NANCY CORTTEX;3238-TECIDO TOALHA ROSTO NANCY CORTTEX
3239;TECIDO TOALHA ROSTO VERONA CORTTEX;3239-TECIDO TOALHA ROSTO VERONA CORTTEX
3240;VELUDO 1.42M                                                     ;3240-VELUDO 1.42M                                                     
3241;LINEN LOOK 1.37M                                                 ;3241-LINEN LOOK 1.37M                                                 
3242;FIO 100% PES 150-144 TM SI TEXT MESCLA 50% PRETO;3242-FIO 100% PES 150-144 TM SI TEXT MESCLA 50% PRETO
3243;TECIDO TOALHA PRAIA CAPRI CORTTEX;3243-TECIDO TOALHA PRAIA CAPRI CORTTEX
3244;TECIDO TOALHA PRAIA PUGLIA CORTTEX;3244-TECIDO TOALHA PRAIA PUGLIA CORTTEX
3245;VELUDO VERONA 1.42M;3245-VELUDO VERONA 1.42M
3246;VELUDO DIJON 1.40M;3246-VELUDO DIJON 1.40M
3247;TECIDO TOALHA BANH�O DAHLIA CORTTEX;3247-TECIDO TOALHA BANH�O DAHLIA CORTTEX
3248;TECIDO TOALHA BANH�O LOUISE CORTTEX;3248-TECIDO TOALHA BANH�O LOUISE CORTTEX
3249;TECIDO TOALHA BANH�O MAYA CORTTEX;3249-TECIDO TOALHA BANH�O MAYA CORTTEX
3250;TECIDO TOALHA BANH�O PERFORMANCE ZERO TWIST CORTTEX;3250-TECIDO TOALHA BANH�O PERFORMANCE ZERO TWIST CORTTEX
3251;TECIDO TOALHA BANH�O SUPER SOFT ARABESCO ZERO TWIST CORTTEX;3251-TECIDO TOALHA BANH�O SUPER SOFT ARABESCO ZERO TWIST CORTTEX
3252;TECIDO TOALHA BANH�O SUPER SOFT GEOMETRICO ZERO TWIST CORTTEX;3252-TECIDO TOALHA BANH�O SUPER SOFT GEOMETRICO ZERO TWIST CORTTEX
3253;TECIDO TOALHA BANH�O TREVISO CORTTEX;3253-TECIDO TOALHA BANH�O TREVISO CORTTEX
3254;TECIDO TOALHA BANHO DAHLIA CORTTEX;3254-TECIDO TOALHA BANHO DAHLIA CORTTEX
3255;TECIDO TOALHA BANHO LOUISE CORTTEX;3255-TECIDO TOALHA BANHO LOUISE CORTTEX
3256;TECIDO TOALHA BANHO MAYA CORTTEX;3256-TECIDO TOALHA BANHO MAYA CORTTEX
3257;TECIDO TOALHA BANHO PERFORMANCE ZERO TWIST CORTTEX;3257-TECIDO TOALHA BANHO PERFORMANCE ZERO TWIST CORTTEX
3258;TECIDO TOALHA BANHO SUPER SOFT ARABESCO ZERO TWIST CORTTEX;3258-TECIDO TOALHA BANHO SUPER SOFT ARABESCO ZERO TWIST CORTTEX
3259;TECIDO TOALHA BANHO SUPER SOFT GEOMETRICO ZERO TWIST CORTTEX;3259-TECIDO TOALHA BANHO SUPER SOFT GEOMETRICO ZERO TWIST CORTTEX
3260;TECIDO TOALHA BANHO TREVISO CORTTEX;3260-TECIDO TOALHA BANHO TREVISO CORTTEX
3261;TECIDO TOALHA ROSTO DAHLIA CORTTEX;3261-TECIDO TOALHA ROSTO DAHLIA CORTTEX
3262;TECIDO TOALHA ROSTO LOUISE CORTTEX;3262-TECIDO TOALHA ROSTO LOUISE CORTTEX
3263;TECIDO TOALHA ROSTO MAYA CORTTEX;3263-TECIDO TOALHA ROSTO MAYA CORTTEX
3264;TECIDO TOALHA ROSTO PERFORMANCE ZERO TWIST CORTTEX;3264-TECIDO TOALHA ROSTO PERFORMANCE ZERO TWIST CORTTEX
3265;TECIDO TOALHA ROSTO SUPER SOFT ARABESCO ZERO TWIST CORTTEX;3265-TECIDO TOALHA ROSTO SUPER SOFT ARABESCO ZERO TWIST CORTTEX
3266;TECIDO TOALHA ROSTO SUPER SOFT GEOMETRICO ZERO TWIST CORTTEX;3266-TECIDO TOALHA ROSTO SUPER SOFT GEOMETRICO ZERO TWIST CORTTEX
3267;TECIDO TOALHA ROSTO TREVISO CORTTEX;3267-TECIDO TOALHA ROSTO TREVISO CORTTEX
3268;VELUDO CHAMONIX 1.45M;3268-VELUDO CHAMONIX 1.45M
3269;VELUDO TORINO 1.40M;3269-VELUDO TORINO 1.40M
3270;FIBRA 7DX64MM HCS-R;3270-FIBRA 7DX64MM HCS-R
3271;TECIDO PARA MANTA STUDIO MIX 2,05M CORTTEX;3271-TECIDO PARA MANTA STUDIO MIX 2,05M CORTTEX
3272;VOIL FLAME 3,30 M;3272-VOIL FLAME 3,30 M
3273;VOIL FLAME 3,30 M;3273-VOIL FLAME 3,30 M
3274;RUSTICO 3,30M;3274-RUSTICO 3,30M
3275;TECIDO PARA COBERTOR CHAMONIX 2.25M;3275-TECIDO PARA COBERTOR CHAMONIX 2.25M
3276;TECIDO PARA COBERTOR CHAMONIX 2.45M;3276-TECIDO PARA COBERTOR CHAMONIX 2.45M
3277;TECIDO PARA COBERTOR TURIM 2.25M;3277-TECIDO PARA COBERTOR TURIM 2.25M
3278;TECIDO PARA COBERTOR TURIM 2.45M;3278-TECIDO PARA COBERTOR TURIM 2.45M
3279;TECIDO PARA COBERTOR ZERMATT 2.05M;3279-TECIDO PARA COBERTOR ZERMATT 2.05M
3280;TECIDO PARA COBERTOR ZERMATT 2.25M;3280-TECIDO PARA COBERTOR ZERMATT 2.25M
3281;TECIDO COBERTOR HOME DESIGN LUSTER ESTAMPADO 2,00M;3281-TECIDO COBERTOR HOME DESIGN LUSTER ESTAMPADO 2,00M
3282;TECIDO COBERTOR STUDIO MIX CORTTEX 2,00M;3282-TECIDO COBERTOR STUDIO MIX CORTTEX 2,00M
3283;TECIDOS LEN�OL LISO 150 FIOS 100% ALGOD�O 255CM - PRODU��O;3283-TECIDOS LEN�OL LISO 150 FIOS 100% ALGOD�O 255CM - PRODU��O
3284;TECIDO LEN�OL LISO MICROTEC 255CM 90GSM - PRODU��O;3284-TECIDO LEN�OL LISO MICROTEC 255CM 90GSM - PRODU��O
3285;LINEN LOOK PUGLIA 1,40 M;3285-LINEN LOOK PUGLIA 1,40 M
3286;TECIDO MANTA KG HOME DESIGN LISO 2,50M CORTTEX;3286-TECIDO MANTA KG HOME DESIGN LISO 2,50M CORTTEX
3287;TECIDO MANTA KG HOME DESIGN ESTAMPADO 2,50M CORTTEX;3287-TECIDO MANTA KG HOME DESIGN ESTAMPADO 2,50M CORTTEX
3288;FIBRA 7DX64MM HCS-R;3288-FIBRA 7DX64MM HCS-R
3289;LINEN LOOK 1.50M;3289-LINEN LOOK 1.50M
3290;VELUDO PARIS 2.80M;3290-VELUDO PARIS 2.80M
3291;MICROFIBRA 65G/M2 2.50M LISA;3291-MICROFIBRA 65G/M2 2.50M LISA
3292;TECIDO PARA COBERTOR TURIM 2.05M;3292-TECIDO PARA COBERTOR TURIM 2.05M
3293;FLOCO RECICLADO GP 65C/35A (PVC MAX.75PPM);3293-FLOCO RECICLADO GP 65C/35A (PVC MAX.75PPM)
3294;VELUDO LETONIA 2.10M;3294-VELUDO LETONIA 2.10M
3295;BOUCLE SALERNO 1.40M;3295-BOUCLE SALERNO 1.40M
3296;MICROFIBRA 65G/M2 2.50M LISA;3296-MICROFIBRA 65G/M2 2.50M LISA
3297;MICROFIBRA 65G/M2 2.25M LISA;3297-MICROFIBRA 65G/M2 2.25M LISA
3298;FLOCO GARRAFA PET-CRISTAL(PVC MAX 25PPM);3298-FLOCO GARRAFA PET-CRISTAL(PVC MAX 25PPM)
3299;VELUDO FLORENCA 1.42M;3299-VELUDO FLORENCA 1.42M
3300;VELUDO MILETO 1,42M;3300-VELUDO MILETO 1,42M
3301;VELUDO PALAZZO 1.42M;3301-VELUDO PALAZZO 1.42M
3302;VELUDO PETRA 1,42M;3302-VELUDO PETRA 1,42M
3303;TECIDO TOALHA BANH�O VENEZA;3303-TECIDO TOALHA BANH�O VENEZA
3304;TECIDO TOALHA ROSTO VENEZA;3304-TECIDO TOALHA ROSTO VENEZA
3305;TECIDO PARA MANTA CELTA ESTAMPADO 2.00M;3305-TECIDO PARA MANTA CELTA ESTAMPADO 2.00M
3306;TECIDO PARA MANTA CELTA LISO 2,00M;3306-TECIDO PARA MANTA CELTA LISO 2,00M
3307;TECIDO TOALHA PRAIA SARDENHA LEBES;3307-TECIDO TOALHA PRAIA SARDENHA LEBES
3308;MICROFIBRA 65G/M2 2.25M LISA;3308-MICROFIBRA 65G/M2 2.25M LISA
3309;MICROFIBRA 65G/M2 2.50M LISA;3309-MICROFIBRA 65G/M2 2.50M LISA
3310;JACQUARD 2.80M;3310-JACQUARD 2.80M
3311;MICROFIBRA CLASSIC 2.50M LISA;3311-MICROFIBRA CLASSIC 2.50M LISA
3312;MICROFIBRA 2687 300 FIOS 2.80M PRODUCAO LISO;3312-MICROFIBRA 2687 300 FIOS 2.80M PRODUCAO LISO
3313;TECIDO TOALHA BANHAO SUPER SOFT LYON;3313-TECIDO TOALHA BANHAO SUPER SOFT LYON
3314;TECIDO TOALHA ROSTO SUPER SOFT LYON;3314-TECIDO TOALHA ROSTO SUPER SOFT LYON
3316;MICROFIBRA LISA 2.50M;3316-MICROFIBRA LISA 2.50M
3317;MICROFIBRA 2.50M;3317-MICROFIBRA 2.50M
3318;VELUDO LOS ANGELES 1.45M;3318-VELUDO LOS ANGELES 1.45M
3319;MICROFIBRA 65G/M2 2.50M LISA;3319-MICROFIBRA 65G/M2 2.50M LISA
3320;MICROFIBRA 65G/M2 2.50M LISA;3320-MICROFIBRA 65G/M2 2.50M LISA
3321;MICROFIBRA LISA 2.50M;3321-MICROFIBRA LISA 2.50M
3322;VELUDO EVORA 1,45M;3322-VELUDO EVORA 1,45M
3323;POLI�STER 600 1,50M;3323-POLI�STER 600 1,50M
3324;BLACKOUT DUPLAFACE BALTIMORE 3,00M;3324-BLACKOUT DUPLAFACE BALTIMORE 3,00M
3325;FIBRA 7DX64MM HCN-R;3325-FIBRA 7DX64MM HCN-R
3326;FIBRA 15DX64MM HCN (dry);3326-FIBRA 15DX64MM HCN (dry)
3327;FLAME SUPER 3.30M;3327-FLAME SUPER 3.30M
3328;NATURAL LOOK 3.30M;3328-NATURAL LOOK 3.30M
3329;NATURAL LOOK 3.30M;3329-NATURAL LOOK 3.30M
3330;LINEN LOOK MIAMI 3.30M;3330-LINEN LOOK MIAMI 3.30M
3331;LINEN LOOK CALIFORNIA 3.30M;3331-LINEN LOOK CALIFORNIA 3.30M
3332;JACQUARD 2.80M;3332-JACQUARD 2.80M
3333;JACQUARD 2.80M;3333-JACQUARD 2.80M
3334;JACQUARD 2.80M;3334-JACQUARD 2.80M
3335;MICROFIBRA LISA 80GSM 2.50M;3335-MICROFIBRA LISA 80GSM 2.50M
3336;MICROFIBRA LISA 80GSM 2.50M;3336-MICROFIBRA LISA 80GSM 2.50M
3337;LINEN LOOK 3.00M;3337-LINEN LOOK 3.00M
3338;LINEN LOOK 3.00M;3338-LINEN LOOK 3.00M
3339;LINEN LOOK 3.30M;3339-LINEN LOOK 3.30M
3340;LINEN LOOK 3.00M;3340-LINEN LOOK 3.00M
3341;MICROFIBRA 65G/M2 2.25M LISA;3341-MICROFIBRA 65G/M2 2.25M LISA
3342;MICROFIBRA 65G/M2 2.50M LISA;3342-MICROFIBRA 65G/M2 2.50M LISA
3343;TECIDO PARA MANTA CELTA ESTAMPADO 2.00M;3343-TECIDO PARA MANTA CELTA ESTAMPADO 2.00M
3344;TECIDO MANTA KG CELTA LISA 2.00M CORTTEX;3344-TECIDO MANTA KG CELTA LISA 2.00M CORTTEX
3345;FIBRA 15DX64MM HCS;3345-FIBRA 15DX64MM HCS
3346;FIBRA 7DX32MM HCS;3346-FIBRA 7DX32MM HCS
3347;FLOCO GARRAFA PET-CRISTAL(PVC MAX 25PPM);3347-FLOCO GARRAFA PET-CRISTAL(PVC MAX 25PPM)
3348;TECIDO PARA COBERTOR FLANNEL POA 225 CM;3348-TECIDO PARA COBERTOR FLANNEL POA 225 CM
3349;TECIDO PARA COBERTOR FLANNEL POA 245 CM;3349-TECIDO PARA COBERTOR FLANNEL POA 245 CM
3350;TECIDO COBERTOR ISL�NDIA 225 CM;3350-TECIDO COBERTOR ISL�NDIA 225 CM
3351;TECIDO COBERTOR ISL�NDIA 245 CM;3351-TECIDO COBERTOR ISL�NDIA 245 CM
3352;TECIDO PARA COBERTOR FLANNEL JACQUARD NORUEGA 225 CM;3352-TECIDO PARA COBERTOR FLANNEL JACQUARD NORUEGA 225 CM
3353;TECIDO PARA COBERTOR FLANNEL JACQUARD NORUEGA 245 CM;3353-TECIDO PARA COBERTOR FLANNEL JACQUARD NORUEGA 245 CM
3354;TECIDO COBERTOR LONDON 225 CM;3354-TECIDO COBERTOR LONDON 225 CM
3355;TECIDO COBERTOR LONDON 245 CM;3355-TECIDO COBERTOR LONDON 245 CM
3356;FIBRA 7DX64MM HCS;3356-FIBRA 7DX64MM HCS
3357;MICROFIBRA LISA 80GSM 2.50M;3357-MICROFIBRA LISA 80GSM 2.50M
3358;MICROFIBRA 80G/M2 2.50M LISA;3358-MICROFIBRA 80G/M2 2.50M LISA
3359;TECIDO PARA MANTA CELTA ESTAMPADO 2.00M;3359-TECIDO PARA MANTA CELTA ESTAMPADO 2.00M
3360;TECIDO PARA MANTA CELTA LISO 2,00M;3360-TECIDO PARA MANTA CELTA LISO 2,00M
3361;LINEN LOOK 3.00M;3361-LINEN LOOK 3.00M
3362;LINEN LOOK 3.00M;3362-LINEN LOOK 3.00M
3363;LINEN LOOK 3.00M;3363-LINEN LOOK 3.00M
3364;TECIDO COBERTOR KG FLANNEL POA 250 CM;3364-TECIDO COBERTOR KG FLANNEL POA 250 CM
3665;TECIDO MANTA KG HOME DESIGN LISO 2,50M;3665-TECIDO MANTA KG HOME DESIGN LISO 2,50M
3805;VOIL LIST AM 2.65/2.70M;3805-VOIL LIST AM 2.65/2.70M
3810;VOIL LIST AM 2.65/2.70M;3810-VOIL LIST AM 2.65/2.70M
3815;VOIL LIST AM 2.65/2.70M;3815-VOIL LIST AM 2.65/2.70M
3817;VOIL LIST AM 3.00M;3817-VOIL LIST AM 3.00M
3818;VOIL LIST AM 2.65/2.70M;3818-VOIL LIST AM 2.65/2.70M
3839;VOIL LIST AM 2.65/2.70M;3839-VOIL LIST AM 2.65/2.70M
3998;PVC JACARTA 0,10MM;3998-PVC JACARTA 0,10MM
3999;PVC JACARTA 0,18MM;3999-PVC JACARTA 0,18MM
4001;SIENA 1.48M;4001-SIENA 1.48M
4002;AREZZO 1.48M;4002-AREZZO 1.48M
4003;SIENA 1.48M;4003-SIENA 1.48M
4004;AREZZO 1.48M;4004-AREZZO 1.48M
4005;TECIDO ESSENCIALE EST MISTO 120F 2.50M;4005-TECIDO ESSENCIALE EST MISTO 120F 2.50M
4006;OXFORD ESTAMPADO 1.50M;4006-OXFORD ESTAMPADO 1.50M
4007;PVC SEUL ESTAMPADO 140CM;4007-PVC SEUL ESTAMPADO 140CM
4008;VELUDO ESTAMPADO 1.42M                                           ;4008-VELUDO ESTAMPADO 1.42M                                           
4009;PVC CATANIA 0,08MM 1,40M;4009-PVC CATANIA 0,08MM 1,40M
4101;TECIDOS LENCOL 100% ALGODAO 2.80M - PRODUCAO;4101-TECIDOS LENCOL 100% ALGODAO 2.80M - PRODUCAO
4200;VOIL 2.80M;4200-VOIL 2.80M
4374;TAFETA 2.80M;4374-TAFETA 2.80M
4500;SUEDE 1.40M;4500-SUEDE 1.40M
4537;SUEDE ESTAMPADO 1.40M;4537-SUEDE ESTAMPADO 1.40M
4544;MICROFIBRA 65G/M2 2.25M;4544-MICROFIBRA 65G/M2 2.25M
4545;MICROFIBRA 67G/M2 2.25M ESTAMPADA;4545-MICROFIBRA 67G/M2 2.25M ESTAMPADA
4546;MICROFIBRA 60G/M2 2.40M ESTAMPADA;4546-MICROFIBRA 60G/M2 2.40M ESTAMPADA
4548;MICROFIBRA 60G/M2 2.40M ESTAMPADA;4548-MICROFIBRA 60G/M2 2.40M ESTAMPADA
4549;MICROFIBRA 60G/M2 2.40M ESTAMPADA;4549-MICROFIBRA 60G/M2 2.40M ESTAMPADA
4550;MICROFIBRA 60G/M2 2.40M ESTAMPADA;4550-MICROFIBRA 60G/M2 2.40M ESTAMPADA
4551;MICROFIBRA 60G/M2 2.40M ESTAMPADA;4551-MICROFIBRA 60G/M2 2.40M ESTAMPADA
4552;MICROFIBRA 60G/M2 2.40M ESTAMPADA;4552-MICROFIBRA 60G/M2 2.40M ESTAMPADA
4553;MICROFIBRA EST 65G/M2 2.40M;4553-MICROFIBRA EST 65G/M2 2.40M
4554;MICROFIBRA EST 60G/M2 2.40M;4554-MICROFIBRA EST 60G/M2 2.40M
4555;VELUDO 1.40M;4555-VELUDO 1.40M
4556;MICROFIBRA EST 60G/M2 2.40M;4556-MICROFIBRA EST 60G/M2 2.40M
4557;MICROFIBRA EST 60G/M2 2.40M;4557-MICROFIBRA EST 60G/M2 2.40M
4558;MICROFIBRA EST 60G/M2 2.40M;4558-MICROFIBRA EST 60G/M2 2.40M
4559;MICROFIBRA 60G/M2 2.40M ESTAMPADA;4559-MICROFIBRA 60G/M2 2.40M ESTAMPADA
4560;MICROFIBRA 60G/M2 2.40M ESTAMPADA;4560-MICROFIBRA 60G/M2 2.40M ESTAMPADA
4561;MICROFIBRA EST 65G/M2 2.40M;4561-MICROFIBRA EST 65G/M2 2.40M
4562;MICROFIBRA EST 60G/M2 2.40M;4562-MICROFIBRA EST 60G/M2 2.40M
4563;MICROFIBRA 65G/M2 2.40M ESTAMPADA;4563-MICROFIBRA 65G/M2 2.40M ESTAMPADA
