Codigo Familia;Familia;legado
1490;VOIL LIST 3.00M;1490-VOIL LIST 3.00M
1492;VOIL LIST 3.00M;1492-VOIL LIST 3.00M
1494;VOIL LIST 3.00M;1494-VOIL LIST 3.00M
1495;VOIL LIST AM 3.00M;1495-VOIL LIST AM 3.00M
1496;VOIL LIST 3.00M;1496-VOIL LIST 3.00M
1497;VOIL LIST AM 3.00M;1497-VOIL LIST AM 3.00M
1502;FORRO 2 2.95/3.00M;1502-FORRO 2 2.95/3.00M
1506;FORRO 2.95/3.00M;1506-FORRO 2.95/3.00M
1520;TAFETA FLAME SANJAN 1.40M;1520-TAFETA FLAME SANJAN 1.40M
1538;JACQUARD 1.47M;1538-JACQUARD 1.47M
1545;CHENILE 1.49M;1545-CHENILE 1.49M
1546;SEMI BLACKOUT 2.80M;1546-SEMI BLACKOUT 2.80M
1547;FORRO MICROFIBRA 2.80M;1547-FORRO MICROFIBRA 2.80M
1549;VELUDO LIST 1.45M;1549-VELUDO LIST 1.45M
1550;VELUDO LIST 1.45M;1550-VELUDO LIST 1.45M
1551;JACQUARD 1.50M;1551-JACQUARD 1.50M
1553;SUEDE ESPECIAL 1.45M;1553-SUEDE ESPECIAL 1.45M
1554;SUEDE BD 1.50M;1554-SUEDE BD 1.50M
1555;SUEDE LISO 1.40M;1555-SUEDE LISO 1.40M
1574;TAFETA CHENILLE 2.80M;1574-TAFETA CHENILLE 2.80M
1575;RUSTICO XD 3.00M;1575-RUSTICO XD 3.00M
1576;RUSTICO LIST 3.00M;1576-RUSTICO LIST 3.00M
1580;SUEDE ESPECIAL 1.40M;1580-SUEDE ESPECIAL 1.40M
1586;LINHO LIST 1.45M;1586-LINHO LIST 1.45M
1587;LINHO LIST 1.45M;1587-LINHO LIST 1.45M
1589;LINHO LIST 1.45M;1589-LINHO LIST 1.45M
1590;ARTCOURO 1.41M;1590-ARTCOURO 1.41M
1591;LINHO LISO 1.50M;1591-LINHO LISO 1.50M
1592;LINHO LISO 2.80M;1592-LINHO LISO 2.80M
1593;LINHO LIST 2.80M;1593-LINHO LIST 2.80M
1594;LINHO LIST 2.80M;1594-LINHO LIST 2.80M
1595;LINHO LIST 2.80M;1595-LINHO LIST 2.80M
1596;LINHO LIST 2.80M;1596-LINHO LIST 2.80M
1597;LINHO LISO 2.80M;1597-LINHO LISO 2.80M
1598;LINHO LISO 2.80M;1598-LINHO LISO 2.80M
1601;VOIL CORTTEX 1.50M;1601-VOIL CORTTEX 1.50M
1605;FLAME 1.40M;1605-FLAME 1.40M
1606;SUEDE ESPECIAL 1.40M;1606-SUEDE ESPECIAL 1.40M
1608;SUEDE ESPECIAL 1.40M;1608-SUEDE ESPECIAL 1.40M
1610;VOIL CORTTEX 3.00M;1610-VOIL CORTTEX 3.00M
1611;VOIL CORTTEX XD 3.00M;1611-VOIL CORTTEX XD 3.00M
1615;VOIL SELVAGEM 3.00M;1615-VOIL SELVAGEM 3.00M
1616;VOIL CORTTEX LIST 3.00M;1616-VOIL CORTTEX LIST 3.00M
1617;VOIL ANARRUGA 3.00M;1617-VOIL ANARRUGA 3.00M
1618;VOIL CORTTEX LIST 3.00M;1618-VOIL CORTTEX LIST 3.00M
1619;VOIL CORTTEX LIST 3.00M;1619-VOIL CORTTEX LIST 3.00M
1626;VOIL CORTTEX FLAME 3.00M;1626-VOIL CORTTEX FLAME 3.00M
